Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2001-11-15
Data Final: 2023-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2001-11-17;1500;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-11-17;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-11-17;1700;0;1017.3;1018.059963;1018;1017.3;3808;null;20.7;9;20.9;20.2;9.8;7.2;null;49;42;47;80;6.2;3.2;
2001-11-17;1800;0;1016.4;1017.160067;1017.2;1016.4;3398;null;20.4;9.9;21.1;20.3;10.6;8.7;null;53;46;51;80;6.4;3.5;
2001-11-17;1900;0;1015.6;1016.358952;1016.4;1015.6;2780;null;20.6;11.2;21.3;20.3;11.6;9.7;null;57;49;55;72;6.9;3.6;
2001-11-17;2000;0;1015.2;1015.959429;1015.6;1015.2;1989;null;20.3;11.8;20.7;20.2;12.3;10.7;null;59;54;58;71;7.1;4.3;
2001-11-17;2100;0;1015.6;1016.361805;1015.6;1015.3;1111;null;19.5;11.9;20.3;19.5;12.4;11.3;null;63;56;61;74;7.7;4.5;
2001-11-17;2200;0;1015.4;1016.164268;1015.5;1015.4;268;null;18.5;11.4;19.4;18.5;12.5;11.4;null;65;62;63;70;8.3;5;
2001-11-17;2300;0;1015.8;1016.566146;1015.8;1015.4;0;null;17.9;10.9;18.5;17.9;11.8;10.8;null;65;62;64;57;8.3;4.2;
2001-11-18;0000;0;1015.9;1016.666221;1015.9;1015.8;-4;null;17.9;10.3;18.1;17.8;10.9;10.2;null;63;61;61;56;8.6;5.5;
2001-11-18;0100;0;1016.2;1016.966975;1016.2;1015.8;-4;null;17.7;11.1;17.9;17.7;11.1;10.3;null;65;61;65;52;8.5;4.2;
2001-11-18;0200;0;1016.2;1016.967503;1016.3;1016.2;-4;null;17.5;11.6;17.7;17.4;11.6;10.7;null;69;64;68;42;6.6;2.7;
2001-11-18;0300;0;1015.8;1016.565094;1016.2;1015.8;-4;null;18.3;11.3;18.5;17.6;11.5;10.8;null;67;61;63;32;8.2;3.6;
2001-11-18;0400;0;1015.5;1016.264868;1015.8;1015.4;-4;null;18.3;11.1;18.4;18.2;11.4;11.1;null;64;62;63;34;7.8;4;
2001-11-18;0500;0;1014.8;1015.564603;1015.4;1014.8;-4;null;18.2;12;18.4;18.1;12;11.2;null;67;63;67;33;7.4;3.5;
2001-11-18;0600;0;1014.5;1015.26464;1014.9;1014.5;-4;null;18.1;12.7;18.3;18.1;12.7;11.7;null;71;66;71;35;6;3;
2001-11-18;0700;0;1014.3;1015.065541;1014.5;1014.2;-4;null;17.7;13.9;18.2;17.6;14;12.7;null;79;70;79;360;5.8;2.9;
2001-11-18;0800;0;1014.6;1015.367351;1014.6;1014.2;-4;null;17.1;14.1;17.7;17.1;14.1;13.9;null;83;79;83;348;5.2;2.1;
2001-11-18;0900;0;1015;1015.768978;1015;1014.6;44;null;16.6;13.8;17;16.2;14.1;13.7;null;85;83;84;1;4;2.5;
2001-11-18;1000;0;1015.3;1016.064455;1015.3;1014.9;739;null;18.4;14.8;18.4;16.6;14.8;13.8;null;84;78;79;345;4.6;2.7;
