Station;Date;H_obs;F_obs
75186000;2022-02-10;45;1.343
75186000;2022-08-09;45;1.481
75186000;2022-05-26;46;1.606
75186000;2012-06-15;49;2.09
75186000;2012-06-15;49;2.09
75186000;2012-03-16;55;4.0
75186000;2012-03-16;55;4.0
75186000;2008-03-22;55;4.1
75186000;2008-03-22;55;4.1
75186000;2003-07-01;63;6.5
75186000;2003-07-01;63;6.5
75186000;2003-07-01;63;6.5
75186000;2003-07-01;63;6.5
75186000;2011-12-08;62;6.88
75186000;2011-12-08;62;6.88
75186000;2012-09-18;62;6.91
75186000;2012-09-18;65;6.912
75186000;2019-09-27;67;7.476
75186000;2011-03-22;64;7.99
75186000;2011-03-22;64;7.99
75186000;2008-07-30;66;8.3
75186000;2008-07-30;66;8.3
75186000;2015-04-16;71;8.732
75186000;2004-08-03;66;8.86
75186000;2004-08-03;66;8.86
75186000;2004-10-28;66;9.3
75186000;2004-10-28;66;9.3
75186000;2016-08-22;71;9.311
75186000;2009-07-18;74;9.57
75186000;2009-07-18;74;9.57
75186000;2010-12-04;69;10.1
75186000;2010-12-04;69;10.1
75186000;2018-04-13;73;10.265
75186000;2013-04-23;71;10.789
75186000;2013-04-23;71;10.789
75186000;2005-06-10;74;12.8
75186000;2005-06-10;74;12.8
75186000;2006-10-07;74;13.3
75186000;2006-10-07;74;13.3
75186000;2019-07-12;78;13.892
75186000;2017-09-16;79;13.893
75186000;2013-09-05;78;14.052
75186000;2013-09-05;78;14.052
75186000;2010-02-22;77;14.1
75186000;2010-02-22;77;14.1
75186000;2002-06-03;76;14.3
75186000;2002-06-03;76;14.3
75186000;2014-04-17;78;14.7
75186000;2014-04-17;78;14.7
75186000;2014-04-14;78;14.726
75186000;2014-04-14;78;14.726
75186000;2018-06-16;79;14.742
75186000;2003-02-27;75;15.0
75186000;2003-02-27;75;15.0
75186000;2013-11-28;81;16.97
75186000;2013-11-28;81;16.97
75186000;2012-12-08;81;17.186
75186000;2012-12-08;81;17.186
75186000;2011-09-17;79;17.3
75186000;2011-09-17;79;17.3
75186000;2017-04-22;85;17.551
75186000;2018-09-28;84;17.709
75186000;2019-11-26;83;17.818
75186000;2010-09-15;85;18.6
75186000;2010-09-15;85;18.6
75186000;2007-09-21;82;18.8
75186000;2007-09-21;82;18.8
75186000;2015-08-21;87;19.925
75186000;2017-11-21;80;20.035
75186000;2014-08-22;86;20.089
75186000;2014-08-22;86;20.089
75186000;2016-11-15;88;20.873
75186000;2019-05-10;89;21.647
75186000;2010-05-27;91;23.3
75186000;2010-05-27;91;23.3
75186000;2007-05-24;87;23.5
75186000;2007-05-24;87;23.5
75186000;2014-11-26;91;23.859
75186000;2014-11-26;91;23.859
75186000;2009-10-27;91;24.0
75186000;2009-10-27;91;24.0
75186000;2018-11-23;97;26.835
75186000;2011-06-29;93;29.6
75186000;2011-06-29;93;29.6
75186000;2003-10-28;98;30.1
75186000;2003-10-28;98;30.1
75186000;2017-06-30;100;30.326
75186000;2015-11-20;99;30.664
75186000;2002-08-28;96;31.2
75186000;2002-08-28;96;31.2
75186000;2005-09-12;98;32.6
75186000;2005-09-12;98;32.6
75186000;2016-05-02;106;34.567
75186000;2002-11-14;106;41.7
75186000;2002-11-14;106;41.7
